fund_code,analysis_date,holding_days,current_price,peak_nav,shares,cash,market_value,nav,max_drawdown,total_return,total_dividend_received,dividend_today,initial_capital,buy_shares,buy_amount,buy_cost,is_first_day,strategy_type
180101.SZ,2024-10-08,1,2.054,999700.09,486708.9046,0.0,999700.09,999700.09,0.0,-0.0003,0.0,0.0,1000000.0,486708.9046,999700.09,299.91,1,buy_and_hold
180102.SZ,2024-10-08,1,1.99,999700.09,502361.8543,0.0,999700.09,999700.09,0.0,-0.0003,0.0,0.0,1000000.0,502361.8543,999700.09,299.91,1,buy_and_hold
180103.SZ,2024-10-08,1,2.431,999700.09,411229.9835,0.0,999700.09,999700.09,0.0,-0.0003,0.0,0.0,1000000.0,411229.9835,999700.09,299.91,1,buy_and_hold
180201.SZ,2024-10-08,1,9.293,999700.09,107575.6042,0.0,999700.09,999700.09,0.0,-0.0003,0.0,0.0,1000000.0,107575.6042,999700.09,299.91,1,buy_and_hold
180202.SZ,2024-10-08,1,6.63,999700.09,150784.3273,0.0,999700.09,999700.09,0.0,-0.0003,0.0,0.0,1000000.0,150784.3273,999700.09,299.91,1,buy_and_hold
180301.SZ,2024-10-08,1,2.155,999700.09,463897.9536,0.0,999700.09,999700.09,0.0,-0.0003,0.0,0.0,1000000.0,463897.9536,999700.09,299.91,1,buy_and_hold
180401.SZ,2024-10-08,1,6.07,999700.09,164695.2372,0.0,999700.09,999700.09,0.0,-0.0003,0.0,0.0,1000000.0,164695.2372,999700.09,299.91,1,buy_and_hold
180501.SZ,2024-10-08,1,2.859,999700.09,349667.7475,0.0,999700.09,999700.09,0.0,-0.0003,0.0,0.0,1000000.0,349667.7475,999700.09,299.91,1,buy_and_hold
180801.SZ,2024-10-08,1,13.351,999700.09,74878.293,0.0,999700.09,999700.09,0.0,-0.0003,0.0,0.0,1000000.0,74878.293,999700.09,299.91,1,buy_and_hold
508000.SH,2024-10-08,1,2.598,999700.09,384796.0316,0.0,999700.09,999700.09,0.0,-0.0003,0.0,0.0,1000000.0,384796.0316,999700.09,299.91,1,buy_and_hold
508001.SH,2024-10-08,1,7.276,999700.09,137396.9338,0.0,999700.09,999700.09,0.0,-0.0003,0.0,0.0,1000000.0,137396.9338,999700.09,299.91,1,buy_and_hold
508006.SH,2024-10-08,1,3.669,999700.09,272472.0878,0.0,999700.09,999700.09,0.0,-0.0003,0.0,0.0,1000000.0,272472.0878,999700.09,299.91,1,buy_and_hold
508008.SH,2024-10-08,1,8.684,999700.09,115119.7708,0.0,999700.09,999700.09,0.0,-0.0003,0.0,0.0,1000000.0,115119.7708,999700.09,299.91,1,buy_and_hold
508009.SH,2024-10-08,1,7.115,999700.09,140505.9859,0.0,999700.09,999700.09,0.0,-0.0003,0.0,0.0,1000000.0,140505.9859,999700.09,299.91,1,buy_and_hold
508018.SH,2024-10-08,1,5.082,999700.09,196713.9099,0.0,999700.09,999700.09,0.0,-0.0003,0.0,0.0,1000000.0,196713.9099,999700.09,299.91,1,buy_and_hold
508019.SH,2024-10-08,1,2.375,999700.09,420926.3537,0.0,999700.09,999700.09,0.0,-0.0003,0.0,0.0,1000000.0,420926.3537,999700.09,299.91,1,buy_and_hold
508021.SH,2024-10-08,1,4.369,999700.09,228816.6834,0.0,999700.09,999700.09,0.0,-0.0003,0.0,0.0,1000000.0,228816.6834,999700.09,299.91,1,buy_and_hold
508027.SH,2024-10-08,1,3.518,999700.09,284167.166,0.0,999700.09,999700.09,0.0,-0.0003,0.0,0.0,1000000.0,284167.166,999700.09,299.91,1,buy_and_hold
508028.SH,2024-10-08,1,10.054,999700.09,99433.0704,0.0,999700.09,999700.09,0.0,-0.0003,0.0,0.0,1000000.0,99433.0704,999700.09,299.91,1,buy_and_hold
508056.SH,2024-10-08,1,3.452,999700.09,289600.2578,0.0,999700.09,999700.09,0.0,-0.0003,0.0,0.0,1000000.0,289600.2578,999700.09,299.91,1,buy_and_hold
508058.SH,2024-10-08,1,3.183,999700.09,314074.8005,0.0,999700.09,999700.09,0.0,-0.0003,0.0,0.0,1000000.0,314074.8005,999700.09,299.91,1,buy_and_hold
508066.SH,2024-10-08,1,6.092,999700.09,164100.4744,0.0,999700.09,999700.09,0.0,-0.0003,0.0,0.0,1000000.0,164100.4744,999700.09,299.91,1,buy_and_hold
508068.SH,2024-10-08,1,3.142,999700.09,318173.1668,0.0,999700.09,999700.09,0.0,-0.0003,0.0,0.0,1000000.0,318173.1668,999700.09,299.91,1,buy_and_hold
508077.SH,2024-10-08,1,2.676,999700.09,373580.0037,0.0,999700.09,999700.09,0.0,-0.0003,0.0,0.0,1000000.0,373580.0037,999700.09,299.91,1,buy_and_hold
