fund_code,ex_dividend_date,dividend_per_share
180801.SZ,2021-11-17,0.51541
508056.SH,2021-11-17,0.0522
180101.SZ,2021-12-01,0.0274
180201.SZ,2021-12-24,0.5271
508001.SH,2021-12-31,0.3376
508006.SH,2022-01-25,0.2714
180301.SZ,2022-04-07,0.0575
508056.SH,2022-04-07,0.04843
180101.SZ,2022-04-08,0.0301
180801.SZ,2022-04-08,1.1604
508000.SH,2022-04-13,0.08
508027.SH,2022-04-19,0.1029
180201.SZ,2022-04-27,0.2105
508099.SH,2022-05-23,0.049
508001.SH,2022-06-08,0.7281
180202.SZ,2022-07-21,0.149
508056.SH,2022-09-06,0.08921
508006.SH,2022-09-21,0.1463
180201.SZ,2022-09-26,0.33071
508000.SH,2022-09-27,0.06
180202.SZ,2022-09-28,0.1107
508018.SH,2022-10-12,0.0829
508018.SH,2022-12-02,0.09492
180101.SZ,2022-12-20,0.0566
180202.SZ,2023-01-04,0.127
180801.SZ,2023-01-05,0.49845
180101.SZ,2023-04-06,0.0396
508056.SH,2023-04-06,0.08801
508058.SH,2023-04-06,0.04191
508006.SH,2023-04-07,0.1906
508008.SH,2023-04-11,0.7728
508000.SH,2023-04-13,0.061
180201.SZ,2023-04-17,0.374
180801.SZ,2023-04-18,0.87573
508021.SH,2023-04-18,0.06722
508027.SH,2023-04-18,0.17754
508088.SH,2023-04-18,0.05174
508068.SH,2023-04-19,0.03825
180102.SZ,2023-04-21,0.0296
180301.SZ,2023-04-26,0.10625
180501.SZ,2023-04-26,0.038
508066.SH,2023-04-27,0.20933
508000.SH,2023-05-11,0.029
508018.SH,2023-05-11,0.07276
508099.SH,2023-05-16,0.095
180401.SZ,2023-05-18,0.727
180202.SZ,2023-05-24,0.24462
508018.SH,2023-06-15,0.09339
508001.SH,2023-06-16,0.6301
508009.SH,2023-06-28,0.6836
180201.SZ,2023-08-14,0.3638
508099.SH,2023-08-14,0.049
508077.SH,2023-08-22,0.07846
180103.SZ,2023-08-24,0.0653
180202.SZ,2023-08-24,0.1259
508018.SH,2023-08-29,0.07046
180102.SZ,2023-08-31,0.05347
508009.SH,2023-09-05,0.23
508056.SH,2023-09-05,0.08423
508058.SH,2023-09-05,0.05201
508006.SH,2023-09-12,0.1251
180301.SZ,2023-09-22,0.04853
180501.SZ,2023-09-22,0.0539
508028.SH,2023-09-22,0.28738
508068.SH,2023-10-16,0.05504
508066.SH,2023-10-27,0.32508
508009.SH,2023-10-30,0.175
180101.SZ,2023-11-01,0.0479
508096.SH,2023-11-13,1.072
508018.SH,2023-11-27,0.07889
508098.SH,2023-11-29,0.0659
180202.SZ,2023-12-05,0.14253
180401.SZ,2023-12-12,0.34
180801.SZ,2023-12-13,0.629
508088.SH,2023-12-19,0.08704
508028.SH,2023-12-21,0.369
508056.SH,2023-12-21,0.0425
180201.SZ,2023-12-25,0.2429
180102.SZ,2024-01-18,0.02746
508009.SH,2024-01-24,0.19
180103.SZ,2024-01-25,0.0306
508098.SH,2024-02-20,0.05042
180102.SZ,2024-04-03,0.02747
508009.SH,2024-04-03,0.185
508056.SH,2024-04-03,0.05405
508058.SH,2024-04-03,0.06282
180301.SZ,2024-04-08,0.05337
180501.SZ,2024-04-08,0.04828
508006.SH,2024-04-09,0.1514
508008.SH,2024-04-09,0.9766
508077.SH,2024-04-10,0.05738
180202.SZ,2024-04-12,0.13077
180101.SZ,2024-04-15,0.0336
508019.SH,2024-04-16,0.07142
508027.SH,2024-04-16,0.18218
508000.SH,2024-04-19,0.07862
508021.SH,2024-04-23,0.19704
508028.SH,2024-04-23,0.392
508088.SH,2024-04-23,0.074
180103.SZ,2024-04-24,0.02997
180801.SZ,2024-04-24,0.443
508068.SH,2024-04-24,0.05506
180201.SZ,2024-04-25,0.17
508096.SH,2024-04-25,0.5498
