trade_date,中证REITs全收益,10年期国债收益率,上证指数,中证红利
2021-06-21,,3.1558,3529.1826,5036.6107
2021-06-22,,3.1553,3557.412,5096.1971
2021-06-23,,3.144,3566.2199,5168.7381
2021-06-24,,3.1358,3566.6539,5163.1286
2021-06-25,,3.1439,3607.5618,5185.6348
2021-06-28,,3.1439,3606.3722,5143.8309
2021-06-29,,3.1528,3573.1779,5136.9878
2021-06-30,,3.1368,3591.197,5153.3965
2021-07-01,,3.0899,3588.7816,5129.8208
2021-07-02,,3.1425,3518.7595,5095.1268
2021-07-05,,3.1409,3534.3222,5102.9435
2021-07-06,,3.1388,3530.2589,5093.2563
2021-07-07,,3.1405,3553.7155,5097.0188
2021-07-08,,3.0659,3525.5039,4999.3961
2021-07-09,,3.0603,3524.0881,5041.7975
2021-07-12,,3.0491,3547.8362,5077.1501
2021-07-13,,3.0272,3566.5225,5110.6191
2021-07-14,,2.9932,3528.5011,5076.1542
2021-07-15,,3.0312,3564.5902,5102.5826
2021-07-16,,3.0195,3539.3038,5107.8824
2021-07-19,,3.0164,3539.1225,5096.5915
2021-07-20,,2.9917,3536.7905,5079.3166
2021-07-21,,2.9918,3562.6611,5078.7577
2021-07-22,,2.9931,3574.7344,5134.3525
2021-07-23,,2.9786,3550.3964,5054.1009
2021-07-26,,2.9595,3467.4409,4951.1313
2021-07-27,,2.9376,3381.1833,4803.4369
2021-07-28,,2.9585,3361.5895,4750.0305
2021-07-29,,2.9491,3411.724,4799.0508
2021-07-30,,2.918,3397.3574,4858.4323
2021-08-02,,2.8241,3464.2854,4870.7121
2021-08-03,,2.8389,3447.9914,4812.4302
2021-08-04,,2.8516,3477.2186,4886.6957
2021-08-05,,2.8297,3466.5491,4856.8873
2021-08-06,,2.8214,3458.2277,4882.5564
2021-08-09,,2.8594,3494.6348,4950.7131
2021-08-10,,2.8745,3529.9309,4959.3887
2021-08-11,,2.8934,3532.6213,5036.9275
2021-08-12,,2.8842,3524.7374,5101.5779
2021-08-13,,2.8878,3516.2989,5108.1028
2021-08-16,,2.8941,3517.3447,5108.3711
2021-08-17,,2.9023,3446.976,5011.6733
2021-08-18,,2.8729,3485.2859,5043.6715
2021-08-19,,2.8467,3465.5546,5014.928
2021-08-20,,2.8589,3427.3338,5022.0882
2021-08-23,,2.8719,3477.1321,5080.2207
2021-08-24,,2.8845,3514.471,5122.6226
2021-08-25,,2.852,3540.3837,5184.7879
2021-08-26,,2.8888,3501.6643,5205.1769
2021-08-27,,2.8813,3522.1567,5240.6388
2021-08-30,,2.8725,3528.1512,5271.5155
2021-08-31,,2.8637,3543.9402,5385.9776
2021-09-01,,2.8401,3567.1008,5361.02
2021-09-02,,2.8413,3597.0426,5448.119
2021-09-03,,2.8419,3581.7344,5431.9273
2021-09-06,,2.8426,3621.8593,5482.7048
2021-09-07,,2.8569,3676.5866,5592.5496
2021-09-08,,2.8775,3675.1865,5639.6195
2021-09-09,,2.8829,3693.1296,5746.5065
2021-09-10,,2.8902,3703.1103,5668.778
2021-09-13,,2.8809,3715.3723,5772.5134
2021-09-14,,2.9181,3662.6015,5670.9439
2021-09-15,,2.8938,3656.2232,5687.3106
2021-09-16,,2.9155,3607.0922,5601.5444
2021-09-17,,2.8955,3613.9663,5496.1389
2021-09-18,,2.8844,,
2021-09-22,,2.8788,3628.4897,5574.2948
2021-09-23,,2.8818,3642.2204,5581.6786
2021-09-24,,2.8813,3613.0673,5404.9915
2021-09-26,,2.8872,,
2021-09-27,,2.8838,3582.8307,5251.9312
2021-09-28,,2.8981,3602.2184,5335.0436
2021-09-29,,2.8953,3536.2944,5166.0006
2021-09-30,1000.0,2.8807,3568.1668,5245.3479
2021-10-08,1003.3772,2.9174,3592.1666,5244.4434
2021-10-09,,2.9293,,
2021-10-11,1002.628,2.9575,3591.7087,5275.2232
2021-10-12,1000.3396,2.9746,3546.9362,5187.6337
2021-10-13,1000.9801,2.9799,3561.7623,5151.1249
2021-10-14,1000.5637,2.9768,3558.2795,5130.9031
2021-10-15,1000.9896,2.9849,3572.3662,5143.6428
2021-10-18,1001.737,3.0376,3568.1379,5220.437
2021-10-19,1006.8418,3.048,3593.1533,5257.3297
2021-10-20,1014.3864,3.0155,3587.0009,5205.6618
2021-10-21,1023.1431,3.0085,3594.7831,5243.4528
2021-10-22,1032.916,2.9926,3582.6036,5149.8551
2021-10-25,1040.5884,3.0031,3609.8626,5155.3052
