trade_date,asset_type,index_value,total_market_value
2021-06-21,交通基础设施,1000.0,3039192719.84
2021-06-21,产业园区,1000.0,2888466904.18
2021-06-21,仓储物流,1000.0,2362068363.18
2021-06-21,绿色环保,1000.0,1036392594.38
2021-06-22,交通基础设施,982.9661,2987423548.21
2021-06-22,产业园区,976.8581,2821622346.42
2021-06-22,仓储物流,982.3165,2320298706.51
2021-06-22,绿色环保,1000.153,1036551153.65
2021-06-23,交通基础设施,982.1158,2984839201.97
2021-06-23,产业园区,964.4809,2785871255.39
2021-06-23,仓储物流,981.5866,2318574724.59
2021-06-23,绿色环保,984.9963,1020842835.54
2021-06-24,交通基础设施,978.8776,2974997733.29
2021-06-24,产业园区,962.8846,2781260443.79
2021-06-24,仓储物流,981.8969,2319307625.8
2021-06-24,绿色环保,975.4816,1010981909.21
2021-06-25,交通基础设施,983.0177,2987580280.27
2021-06-25,产业园区,963.0312,2781683680.94
2021-06-25,仓储物流,983.4027,2322864403.62
2021-06-25,绿色环保,976.0127,1011532327.09
2021-06-28,交通基础设施,979.1541,2975838143.89
2021-06-28,产业园区,959.8176,2772401472.78
2021-06-28,仓储物流,980.1685,2315225047.42
2021-06-28,绿色环保,973.9636,1009408617.25
2021-06-29,交通基础设施,976.9727,2969208213.2
2021-06-29,产业园区,956.2684,2762149559.8
2021-06-29,仓储物流,977.3499,2308567330.36
2021-06-29,绿色环保,967.8908,1003114863.7
2021-06-30,交通基础设施,978.663,2974345348.46
2021-06-30,产业园区,956.9241,2764043627.01
2021-06-30,仓储物流,977.8276,2309695549.75
2021-06-30,绿色环保,967.1652,1002362805.46
2021-07-01,交通基础设施,990.6059,3010642107.93
2021-07-01,产业园区,982.2432,2837176997.6
2021-07-01,仓储物流,981.0617,2317334905.95
2021-07-01,绿色环保,979.5355,1015183319.05
2021-07-02,交通基础设施,983.0442,2987660642.59
2021-07-02,产业园区,962.1414,2779113562.15
2021-07-02,仓储物流,979.2861,2313140728.31
2021-07-02,绿色环保,975.2568,1010748902.73
2021-07-05,交通基础设施,981.8059,2983897228.55
2021-07-05,产业园区,960.3618,2773973273.99
2021-07-05,仓储物流,977.3499,2308567330.36
2021-07-05,绿色环保,971.6876,1007049850.82
2021-07-06,交通基础设施,980.2601,2979199259.28
2021-07-06,产业园区,958.5048,2768609498.21
2021-07-06,仓储物流,975.9534,2305268732.04
2021-07-06,绿色环保,969.1433,1004412946.71
2021-07-07,交通基础设施,978.4666,2973748659.89
2021-07-07,产业园区,955.5181,2759982510.37
2021-07-07,仓储物流,972.8798,2298008596.16
2021-07-07,绿色环保,967.7384,1002956890.18
2021-07-08,交通基础设施,972.4692,2955521387.11
2021-07-08,产业园区,953.2064,2753305117.27
2021-07-08,仓储物流,969.9667,2291127680.6
2021-07-08,绿色环保,965.4217,1000555921.28
2021-07-09,交通基础设施,968.2797,2942788472.21
2021-07-09,产业园区,950.4156,2745243890.6
2021-07-09,仓储物流,967.8484,2286123983.49
2021-07-09,绿色环保,967.7387,1002957183.05
2021-07-12,交通基础设施,965.8299,2935343060.49
2021-07-12,产业园区,946.9097,2735117459.95
2021-07-12,仓储物流,964.8112,2278949907.44
2021-07-12,绿色环保,968.3846,1003626593.61
2021-07-13,交通基础设施,961.1201,2921029306.16
2021-07-13,产业园区,943.1026,2724120656.68
2021-07-13,仓储物流,965.0514,2279517345.27
2021-07-13,绿色环保,968.2706,1003508479.56
2021-07-14,交通基础设施,955.6097,2904282100.52
2021-07-14,产业园区,941.0919,2718312761.9
2021-07-14,仓储物流,962.9911,2274650786.83
2021-07-14,绿色环保,965.616,1000757268.76
2021-07-15,交通基础设施,960.8704,2920270311.9
2021-07-15,产业园区,947.463,2736715622.11
2021-07-15,仓储物流,973.3426,2299101834.55
2021-07-15,绿色环保,968.8034,1004060654.69
2021-07-16,交通基础设施,968.6819,2944011035.0
2021-07-16,产业园区,956.2929,2762220490.09
2021-07-16,仓储物流,976.6389,2306887771.0
2021-07-16,绿色环保,970.5488,1005869588.98
2021-07-19,交通基础设施,971.4474,2952415931.53
2021-07-19,产业园区,957.7629,2766466507.33
2021-07-19,仓储物流,975.8806,2305096612.38
2021-07-19,绿色环保,971.7643,1007129276.89
2021-07-20,交通基础设施,971.823,2953557341.47
2021-07-20,产业园区,957.1139,2764591733.63
2021-07-20,仓储物流,975.5379,2304287092.9
2021-07-20,绿色环保,973.017,1008427652.78
2021-07-21,交通基础设施,970.5413,2949662124.94
2021-07-21,产业园区,956.2187,2762006212.08
2021-07-21,仓储物流,974.4841,2301798014.05
2021-07-21,绿色环保,972.7142,1008113755.86
2021-07-22,交通基础设施,967.8748,2941557964.24
2021-07-22,产业园区,956.2647,2762138812.45
2021-07-22,仓储物流,976.1829,2305810630.45
2021-07-22,绿色环保,973.2455,1008664466.62
2021-07-23,交通基础设施,969.8519,2947566803.81
2021-07-23,产业园区,960.2098,2773534130.86
2021-07-23,仓储物流,978.2756,2310753807.15
2021-07-23,绿色环保,976.2437,1011771776.8
2021-07-26,交通基础设施,966.8985,2938590938.8
2021-07-26,产业园区,951.5015,2748380695.45
2021-07-26,仓储物流,969.6564,2290394779.38
2021-07-26,绿色环保,975.2186,1010709336.13
2021-07-27,交通基础设施,964.9234,2932588199.87
2021-07-27,产业园区,946.431,2733734551.28
2021-07-27,仓储物流,966.9984,2284116282.64
2021-07-27,绿色环保,975.5602,1011063385.39
2021-07-28,交通基础设施,962.5047,2925237196.29
2021-07-28,产业园区,944.1603,2727175783.89
2021-07-28,仓储物流,970.6481,2292737277.98
2021-07-28,绿色环保,974.4206,1009882244.93
2021-07-29,交通基础设施,962.9071,2926460286.09
2021-07-29,产业园区,946.7616,2734689617.99
2021-07-29,仓储物流,975.3881,2303933412.0
2021-07-29,绿色环保,974.1547,1009606743.12
2021-07-30,交通基础设施,961.8153,2923142138.67
2021-07-30,产业园区,946.0488,2732630607.15
2021-07-30,仓储物流,975.3881,2303933412.0
2021-07-30,绿色环保,974.4966,1009961085.26
2021-08-02,交通基础设施,964.3556,2930862566.15
2021-08-02,产业园区,948.9069,2740886154.86
2021-08-02,仓储物流,978.6844,2311719348.44
2021-08-02,绿色环保,977.6871,1013267692.8
2021-08-03,交通基础设施,964.8199,2932273681.72
2021-08-03,产业园区,951.6518,2748814781.16
2021-08-03,仓储物流,979.7381,2314208427.29
2021-08-03,绿色环保,984.0978,1019911688.25
2021-08-04,交通基础设施,965.6041,2934657010.39
2021-08-04,产业园区,950.4295,2745284065.97
2021-08-04,仓储物流,979.9459,2314699246.86
2021-08-04,绿色环保,992.2177,1028327101.53
2021-08-05,交通基础设施,965.5505,2934493914.18
2021-08-05,产业园区,949.0403,2741271569.64
2021-08-05,仓储物流,980.0917,2315043486.19
2021-08-05,绿色环保,996.8454,1033123181.84
2021-08-06,交通基础设施,966.3945,2937059167.98
2021-08-06,产业园区,948.2581,2739012044.61
2021-08-06,仓储物流,981.4625,2318281564.1
2021-08-06,绿色环保,998.819,1035168637.1
2021-08-09,交通基础设施,966.9167,2938646108.05
2021-08-09,产业园区,947.7032,2737409328.25
2021-08-09,仓储物流,980.5072,2316025125.33
2021-08-09,绿色环保,998.4726,1034809608.98
2021-08-10,交通基础设施,966.6257,2937761675.45
2021-08-10,产业园区,947.309,2736270738.45
2021-08-10,仓储物流,979.614,2313915266.8
2021-08-10,绿色环保,1002.339,1038816700.32
2021-08-11,交通基础设施,966.2129,2936507291.94
2021-08-11,产业园区,948.1964,2738834000.62
2021-08-11,仓储物流,978.965,2312382287.68
2021-08-11,绿色环保,1003.5488,1040070530.75
2021-08-12,交通基础设施,966.0478,2936005538.54
2021-08-12,产业园区,948.2431,2738968903.39
2021-08-12,仓储物流,978.8301,2312063587.77
2021-08-12,绿色环保,1005.9701,1042579948.85
2021-08-13,交通基础设施,965.2348,2933534429.37
2021-08-13,产业园区,948.7484,2740428221.44
2021-08-13,仓储物流,978.6952,2311744887.86
2021-08-13,绿色环保,998.806,1035155164.9
2021-08-16,交通基础设施,963.8356,2929281990.22
2021-08-16,产业园区,946.7793,2734740540.71
2021-08-16,仓储物流,977.5321,2308997629.52
2021-08-16,绿色环保,992.4714,1028590009.76
2021-08-17,交通基础设施,963.7158,2928918139.95
2021-08-17,产业园区,946.3087,2733381479.76
2021-08-17,仓储物流,978.6331,2311598307.62
2021-08-17,绿色环保,992.3936,1028509412.2
2021-08-18,交通基础设施,964.6177,2931658954.75
2021-08-18,产业园区,946.8874,2735052773.41
2021-08-18,仓储物流,981.499,2318367623.93
2021-08-18,绿色环保,996.2266,1032481915.8
2021-08-19,交通基础设施,965.9364,2935666881.34
2021-08-19,产业园区,946.4267,2733722164.98
2021-08-19,仓储物流,984.5726,2325627759.81
2021-08-19,绿色环保,998.9963,1035352412.14
2021-08-20,交通基础设施,967.3997,2940113973.92
2021-08-20,产业园区,946.2852,2733313565.93
2021-08-20,仓储物流,985.1123,2326902559.44
2021-08-20,绿色环保,1000.2488,1036650495.15
2021-08-23,交通基础设施,970.5099,2949566662.76
2021-08-23,产业园区,947.641,2737229695.91
2021-08-23,仓储物流,984.4633,2325369580.32
2021-08-23,绿色环保,999.0735,1035432423.96
2021-08-24,交通基础设施,971.9071,2953813001.28
2021-08-24,产业园区,950.9178,2746694713.1
2021-08-24,仓储物流,987.1321,2331673616.48
2021-08-24,绿色环保,999.4531,1035825746.95
2021-08-25,交通基础设施,973.6738,2959182184.31
2021-08-25,产业园区,954.6425,2757453179.81
2021-08-25,仓储物流,997.7387,2356727083.02
2021-08-25,绿色环保,1000.1366,1036534138.35
2021-08-26,交通基础设施,976.2989,2967160379.64
2021-08-26,产业园区,961.3479,2776821643.26
2021-08-26,仓储物流,1002.5259,2368034816.29
2021-08-26,绿色环保,1006.5849,1043217114.66
2021-08-27,交通基础设施,984.1433,2991001084.5
2021-08-27,产业园区,968.3232,2796969482.43
2021-08-27,仓储物流,1018.7225,2406292117.7
2021-08-27,绿色环保,1015.6889,1052652473.26
2021-08-30,交通基础设施,993.8101,3020380432.75
2021-08-30,产业园区,980.0532,2830851278.85
2021-08-30,仓储物流,1027.2728,2426488467.38
2021-08-30,绿色环保,1027.0664,1064443962.43
2021-08-31,交通基础设施,995.5314,3025611712.65
2021-08-31,产业园区,977.8645,2824529259.67
2021-08-31,仓储物流,1022.6125,2415480550.87
2021-08-31,绿色环保,1030.0207,1067505848.53
2021-09-01,交通基础设施,990.1077,3009128112.01
2021-09-01,产业园区,973.1706,2810970993.41
2021-09-01,仓储物流,1010.9994,2388049604.74
2021-09-01,绿色环保,1024.4805,1061763977.23
2021-09-02,交通基础设施,989.2429,3006499743.77
2021-09-02,产业园区,974.5194,2814866955.58
2021-09-02,仓储物流,1020.4901,2410467412.19
2021-09-02,绿色环保,1030.3259,1067822088.44
2021-09-03,交通基础设施,989.507,3007302496.51
2021-09-03,产业园区,975.5359,2817803246.24
2021-09-03,仓储物流,1019.9869,2409278672.4
2021-09-03,绿色环保,1030.8943,1068411194.3
2021-09-06,交通基础设施,992.6872,3016967613.68
2021-09-06,产业园区,976.6192,2820932219.0
2021-09-06,仓储物流,1020.0853,2409511312.47
2021-09-06,绿色环保,1031.2359,1068765243.56
2021-09-07,交通基础设施,993.5477,3019582990.13
2021-09-07,产业园区,979.208,2828409768.49
2021-09-07,仓储物流,1021.409,2412637791.13
2021-09-07,绿色环保,1032.0696,1069629265.49
2021-09-08,交通基础设施,994.4909,3022449506.78
2021-09-08,产业园区,985.2715,2845924238.9
2021-09-08,仓储物流,1021.1027,2411914331.48
2021-09-08,绿色环保,1030.8567,1068372213.45
2021-09-09,交通基础设施,993.6777,3019978134.11
2021-09-09,产业园区,982.7575,2838662555.76
2021-09-09,仓储物流,1020.9313,2411509571.75
