date,title,digest,score
2021-07-03,国家发展改革委公布958号文REITs基础资产扩容,国家发展改革委发布958号文，对基础设施REITs试点项目申报要求进行了更新。通知明确全国各地区符合条件的项目均可申报，并重点支持黄河流域生态保护和高质量发展等国家重大战略区域。行业范围新增了能源基础设施（包括风电、光伏发电等清洁能源项目）、保障性租赁住房，以及具有供水发电功能的水利设施和收益较好的旅游基础设施。通知还强调加强项目储备管理，严把项目质量关，并引导回收资金用于新项目建设。,2
2021-07-23,重要政策发改委国家能源局发布关于加快推动新型储能发展的指导意见为公募REIT,国家发改委与国家能源局联合发布《关于加快推动新型储能发展的指导意见》，旨在推动新型储能快速发展。该文件提出到2025年实现新型储能从商业化初期向规模化发展转变，装机规模达3000万千瓦以上；到2030年实现全面市场化发展。指导意见明确支持新型储能作为独立市场主体参与电力市场，并研究健全新型储能价格机制。文件还指出，此举为公募REITs资产扩容夯实基础。,1
2021-07-24,行业动态证监会李超副主席凝聚共识夯实基础尊重规律探索符合我国实际的REITs,证监会李超副主席表示，我国基础设施REITs试点工作已正式启动，首批9个项目于2021年6月21日上市，募集资金314亿元，涵盖产业园区、高速公路等资产类型。未来将完善制度规则，强化政策支持，推动专项立法，并探索符合国家战略的优质项目。市场建设将坚持市场化法治化方向，加强监管，培育多元化投资者，并优化产品运作机制。,1
2021-07-30,行业动态国家发展改革委投资司召开省级发展改革部门基础设施REITs培训工作会,国家发展改革委投资司召开基础设施REITs培训工作会议，旨在帮助各地准确理解相关政策文件并提升业务能力。会议介绍了基础设施REITs试点基本情况、政策要求及项目申报流程，并要求各省级发展改革部门严格把关项目合规性、加强沟通协调、提高申报效率，并规范宣传培训以支持REITs市场发展。会议强调需解决清洁能源、保障性租赁住房等领域项目落地问题，并推动出台支持政策促进市场长远健康发展。,1
2021-08-02,行业动态国家发改委申报基础设施REITs项目无名额限制,国家发改委表示，申报基础设施REITs项目没有名额限制，实行“成熟一个、申报一个”的申报推荐方式。各地对各类所有制企业申报项目应一视同仁。会议指出，清洁能源、保障性租赁住房等领域尚无项目落地，需加大工作力度。要求各地优化流程、加快申报进度，并鼓励原始权益人拿出优质资产参与试点。,1
2021-08-19,行业动态国家发改委规范推广PPP模式稳妥开展REITs试点,国家发改委在新闻发布会上表示，为发挥有效投资作用，将规范推广政府和社会资本合作（PPP）模式，并稳妥开展基础设施领域不动产投资信托基金（REITs）试点，以盘活存量资产，形成投资良性循环。,1
2021-09-08,行业动态银保监会推动保险资金支持长租市场发展会同人民银行推进REITs试点,银保监会表示将指导银行保险机构加大对保障性租赁住房的支持，并推动保险资金支持长租市场发展。同时，银保监会会同人民银行正在推进不动产投资信托基金（REITs）试点工作。,1
2021-10-14,行业动态丨第二批基础设施公募REITs试点项目正式开始申报,第二批基础设施公募REITs试点项目已正式开始申报，进入审核阶段。上海证券交易所于2021年10月13日更新申报项目，包括“国泰君安临港东久智能制造产业园封闭式基础设施证券投资基金”和“建信中关村产业园封闭式基础设施证券投资基金”。截至目前，国内基础设施公募REITs试点项目累计申报11只，其中上交所累计发布7只。,1
2021-11-01,行业动态丨首款公募REITS主题银行理财产品落地,光大理财正式发售首款公募REITs主题银行理财产品“阳光红基础设施公募REITs优选1号”，其80%以上资产投资于公募REITs。产品风险等级为R3，业绩基准年化5%。业内人士指出，REITs兼具股债性质，有助于分散风险。同时，第二批公募REITs已获交易所受理。银行理财资金参与REITs投资仍以试水为主，面临净值波动、期限错配和流动性不足等挑战。,1
2021-11-17,政策动态丨银保监会同意保险资金投资公募REITs,银保监会发布通知，同意保险资金投资公开募集基础设施证券投资基金。通知明确了保险机构自行投资或委托投资公募REITs需满足的资质要求，包括公司治理、内部控制、偿付能力等条件。保险机构需审慎评估公募REITs风险并制定风险处置预案，当基金净资产损失达到10%或基础设施项目运营出现重大变化时需向银保监会报告。,2
