fund_code,trade_date,close,vol,amount
180101.SZ,2021-06-21,2.65,1039006,275910.25
180201.SZ,2021-06-21,13.108,181026,238979.03
180301.SZ,2021-06-21,2.367,503689,120538.19
180801.SZ,2021-06-21,14.711,118345,181529.35
508000.SH,2021-06-21,3.166,647082,204138.03
508001.SH,2021-06-21,9.153,247246,227877.27
508006.SH,2021-06-21,3.883,350333,138462.46
508027.SH,2021-06-21,3.907,426437,167000.01
508056.SH,2021-06-21,3.972,757999,305190.79
180101.SZ,2021-06-22,2.464,382707,94072.63
180201.SZ,2021-06-22,13.05,36108,46636.67
180301.SZ,2021-06-22,2.335,120667,27915.41
180801.SZ,2021-06-22,14.7,43224,59971.08
508000.SH,2021-06-22,3.121,194101,59265.32
508001.SH,2021-06-22,8.807,53892,47288.67
508006.SH,2021-06-22,3.888,96322,36672.9
508027.SH,2021-06-22,3.907,140184,54449.23
508056.SH,2021-06-22,3.894,211277,81524.0
180101.SZ,2021-06-23,2.393,238560,57129.35
180201.SZ,2021-06-23,13.026,22568,29320.41
180301.SZ,2021-06-23,2.308,70789,16345.06
180801.SZ,2021-06-23,14.288,19417,27794.17
508000.SH,2021-06-23,3.059,66995,20536.25
508001.SH,2021-06-23,8.814,31826,28026.04
508006.SH,2021-06-23,3.892,41147,15998.96
508027.SH,2021-06-23,3.906,59298,23091.72
508056.SH,2021-06-23,3.911,55997,21831.18
180101.SZ,2021-06-24,2.4,166301,39906.52
180201.SZ,2021-06-24,12.963,18691,24233.05
180301.SZ,2021-06-24,2.323,88668,20530.46
180801.SZ,2021-06-24,14.07,11671,16419.46
508000.SH,2021-06-24,3.062,54378,16614.13
508001.SH,2021-06-24,8.808,10344,9111.08
508006.SH,2021-06-24,3.881,30886,11942.95
508027.SH,2021-06-24,3.885,25044,9733.67
508056.SH,2021-06-24,3.901,28492,11115.73
180101.SZ,2021-06-25,2.407,80953,19417.73
180201.SZ,2021-06-25,13.045,14802,19193.28
180301.SZ,2021-06-25,2.324,53746,12437.92
180801.SZ,2021-06-25,14.078,7896,11105.71
508000.SH,2021-06-25,3.051,35337,10777.69
508001.SH,2021-06-25,8.814,16325,14381.7
508006.SH,2021-06-25,3.883,22098,8560.54
508027.SH,2021-06-25,3.887,35688,13860.65
508056.SH,2021-06-25,3.909,45181,17596.26
180101.SZ,2021-06-28,2.398,68923,16522.41
180201.SZ,2021-06-28,12.961,11296,14644.39
180301.SZ,2021-06-28,2.314,35713,8257.69
180801.SZ,2021-06-28,14.054,8254,11611.75
508000.SH,2021-06-28,3.031,45195,13715.78
508001.SH,2021-06-28,8.817,13464,11861.56
508006.SH,2021-06-28,3.873,24307,9408.54
508027.SH,2021-06-28,3.881,26850,10416.49
508056.SH,2021-06-28,3.898,17246,6724.85
180101.SZ,2021-06-29,2.373,111984,26566.98
180201.SZ,2021-06-29,12.922,10337,13358.3
180301.SZ,2021-06-29,2.302,28602,6586.92
180801.SZ,2021-06-29,13.996,7969,11163.38
508000.SH,2021-06-29,3.016,21053,6355.92
508001.SH,2021-06-29,8.809,8142,7173.41
508006.SH,2021-06-29,3.839,19194,7387.9
508027.SH,2021-06-29,3.883,24988,9683.53
508056.SH,2021-06-29,3.891,17632,6862.74
180101.SZ,2021-06-30,2.374,60130,14205.48
180201.SZ,2021-06-30,12.955,7072,9136.57
180301.SZ,2021-06-30,2.303,12542,2889.07
180801.SZ,2021-06-30,14.037,2497,3504.69
508000.SH,2021-06-30,3.02,12918,3899.89
508001.SH,2021-06-30,8.812,5970,5259.46
508006.SH,2021-06-30,3.819,16509,6308.03
508027.SH,2021-06-30,3.885,17373,6743.08
508056.SH,2021-06-30,3.893,8542,3325.25
180101.SZ,2021-07-01,2.443,84088,20368.16
180201.SZ,2021-07-01,13.044,10873,14132.55
180301.SZ,2021-07-01,2.313,19518,4511.23
180801.SZ,2021-07-01,14.186,4167,5886.02
508000.SH,2021-07-01,3.107,29702,9076.3
508001.SH,2021-07-01,8.999,10604,9429.08
508006.SH,2021-07-01,3.878,15999,6140.97
508027.SH,2021-07-01,3.978,49151,19208.97
508056.SH,2021-07-01,3.904,12958,5055.07
180101.SZ,2021-07-02,2.395,97210,23267.53
180201.SZ,2021-07-02,12.956,8749,11337.49
180301.SZ,2021-07-02,2.31,27869,6437.07
180801.SZ,2021-07-02,14.037,6571,9210.14
508000.SH,2021-07-02,3.056,26825,8170.75
508001.SH,2021-07-02,8.917,7919,7071.37
508006.SH,2021-07-02,3.89,12200,4699.53
508027.SH,2021-07-02,3.887,16523,6428.16
508056.SH,2021-07-02,3.896,19526,7599.88
180101.SZ,2021-07-05,2.387,35681,8519.05
180201.SZ,2021-07-05,12.936,5301,6861.27
180301.SZ,2021-07-05,2.302,30426,7012.1
180801.SZ,2021-07-05,14.018,4861,6814.4
508000.SH,2021-07-05,3.055,14317,4378.28
508001.SH,2021-07-05,8.91,5018,4472.06
508006.SH,2021-07-05,3.865,12982,5014.98
508027.SH,2021-07-05,3.88,15023,5830.24
508056.SH,2021-07-05,3.891,25813,10042.72
180101.SZ,2021-07-06,2.381,48865,11639.66
180201.SZ,2021-07-06,12.913,7708,9956.44
180301.SZ,2021-07-06,2.298,21210,4874.7
180801.SZ,2021-07-06,14.008,5728,8026.15
508000.SH,2021-07-06,3.039,18185,5535.05
508001.SH,2021-07-06,8.899,6080,5412.64
508006.SH,2021-07-06,3.846,11400,4383.64
508027.SH,2021-07-06,3.88,11137,4314.8
508056.SH,2021-07-06,3.886,26794,10416.13
180101.SZ,2021-07-07,2.374,57646,13698.62
180201.SZ,2021-07-07,12.89,7732,9971.33
180301.SZ,2021-07-07,2.293,14232,3265.34
180801.SZ,2021-07-07,14.001,5166,7232.44
508000.SH,2021-07-07,3.024,23645,7163.18
508001.SH,2021-07-07,8.882,6908,6139.22
508006.SH,2021-07-07,3.836,10649,4082.66
508027.SH,2021-07-07,3.871,9047,3502.96
508056.SH,2021-07-07,3.872,17822,6912.73
180101.SZ,2021-07-08,2.364,49313,11659.13
180201.SZ,2021-07-08,12.808,10923,14008.99
180301.SZ,2021-07-08,2.293,18783,4305.14
180801.SZ,2021-07-08,13.994,4252,5952.16
508000.SH,2021-07-08,3.014,24388,7355.04
508001.SH,2021-07-08,8.831,6944,6138.78
508006.SH,2021-07-08,3.818,15669,5993.54
508027.SH,2021-07-08,3.867,9269,3583.64
508056.SH,2021-07-08,3.855,24257,9369.18
180101.SZ,2021-07-09,2.359,43552,10271.86
180201.SZ,2021-07-09,12.738,9222,11748.05
180301.SZ,2021-07-09,2.29,11979,2743.58
180801.SZ,2021-07-09,13.998,3901,5460.46
508000.SH,2021-07-09,3.01,19545,5883.2
508001.SH,2021-07-09,8.81,9464,8337.02
508006.SH,2021-07-09,3.837,15223,5823.5
508027.SH,2021-07-09,3.851,8492,3273.05
508056.SH,2021-07-09,3.845,20418,7846.24
180101.SZ,2021-07-12,2.351,80251,18898.16
180201.SZ,2021-07-12,12.689,11225,14253.32
180301.SZ,2021-07-12,2.284,17467,3996.01
180801.SZ,2021-07-12,13.997,4653,6512.83
508000.SH,2021-07-12,3.004,26583,7984.63
508001.SH,2021-07-12,8.807,8279,7291.94
508006.SH,2021-07-12,3.843,16891,6494.59
508027.SH,2021-07-12,3.833,12159,4659.8
508056.SH,2021-07-12,3.832,21304,8160.2
180101.SZ,2021-07-13,2.338,54551,12754.67
180201.SZ,2021-07-13,12.595,10506,13240.84
180301.SZ,2021-07-13,2.268,15707,3565.35
180801.SZ,2021-07-13,13.997,3666,5130.36
508000.SH,2021-07-13,3.009,15765,4737.95
508001.SH,2021-07-13,8.801,7342,6461.51
508006.SH,2021-07-13,3.842,9798,3762.29
508027.SH,2021-07-13,3.81,17303,6600.88
508056.SH,2021-07-13,3.846,15384,5885.67
180101.SZ,2021-07-14,2.332,41892,9773.24
180201.SZ,2021-07-14,12.505,12182,15244.62
180301.SZ,2021-07-14,2.254,14098,3181.13
180801.SZ,2021-07-14,13.948,3921,5474.79
508000.SH,2021-07-14,3.007,13551,4072.8
508001.SH,2021-07-14,8.771,6576,5768.9
508006.SH,2021-07-14,3.835,6839,2617.71
508027.SH,2021-07-14,3.8,12538,4765.13
508056.SH,2021-07-14,3.845,10067,3869.0
180101.SZ,2021-07-15,2.332,44337,10330.18
180201.SZ,2021-07-15,12.588,12548,15769.94
180301.SZ,2021-07-15,2.285,14051,3184.85
180801.SZ,2021-07-15,13.987,3699,5163.77
508000.SH,2021-07-15,3.012,11865,3573.42
508001.SH,2021-07-15,8.803,8226,7232.6
508006.SH,2021-07-15,3.85,10114,3880.25
508027.SH,2021-07-15,3.849,18115,6929.79
508056.SH,2021-07-15,3.881,8371,3236.44
180101.SZ,2021-07-16,2.363,49912,11725.05
180201.SZ,2021-07-16,12.703,13263,16791.29
180301.SZ,2021-07-16,2.298,17753,4068.37
180801.SZ,2021-07-16,14.009,6505,9111.68
