fund_code,fund_name,list_date,asset_type
180101.SZ,博时蛇口产园REIT,2021-06-21,产业园区
180102.SZ,华夏合肥高新REIT,2022-10-10,产业园区
180103.SZ,华夏和达高科REIT,2022-12-27,产业园区
180201.SZ,平安广州广河REIT,2021-06-21,交通基础设施
180202.SZ,华夏越秀高速REIT,2021-12-14,交通基础设施
180301.SZ,红土创新盐田港REIT,2021-06-21,仓储物流
180401.SZ,鹏华深圳能源REIT,2022-07-26,能源基础设施
180501.SZ,红土创新深圳安居REIT,2022-08-31,租赁住房
180801.SZ,中航首钢绿能REIT,2021-06-21,绿色环保
508000.SH,华安张江产业园REIT,2021-06-21,产业园区
508001.SH,浙商沪杭甬REIT,2021-06-21,交通基础设施
508006.SH,富国首创水务REIT,2021-06-21,绿色环保
508008.SH,国金中国铁建REIT,2022-07-08,交通基础设施
508009.SH,中金安徽交控REIT,2022-11-22,交通基础设施
508018.SH,华夏中国交建REIT,2022-04-28,交通基础设施
508019.SH,中金湖北科投光谷REIT,2023-06-30,产业园区
508021.SH,国泰君安临港创新产业园REIT,2022-10-13,产业园区
508027.SH,东吴苏园产业REIT,2021-06-21,产业园区
508028.SH,中信建投国家电投新能源REIT,2023-03-29,能源基础设施
508056.SH,中金普洛斯REIT,2021-06-21,仓储物流
508058.SH,中金厦门安居REIT,2022-08-31,租赁住房
508066.SH,华泰江苏交控REIT,2022-11-15,交通基础设施
508068.SH,华夏北京保障房REIT,2022-08-31,租赁住房
508077.SH,华夏基金华润有巢REIT,2022-12-09,租赁住房
508088.SH,国泰君安东久新经济REIT,2022-10-14,产业园区
508096.SH,中航京能光伏REIT,2023-03-29,能源基础设施
508098.SH,嘉实京东仓储基础设施REIT,2023-02-08,仓储物流
508099.SH,建信中关村REIT,2021-12-17,产业园区
